3.84,5.45
3.91,0.82
6.42,2.14
4.70,7.15
8.90,6.79
2.20,8.06
4.75,3.75
7.09,5.76
1.82,5.26
7.60,8.51
0.17,9.31
8.49,2.58
9.62,9.79
6.65,0.60
1.82,0.76
0.71,8.31
6.42,6.67
2.02,7.96
7.45,5.42
9.58,1.89
3.74,9.46
4.43,4.48
6.89,2.87
7.94,3.75
1.32,9.47
3.91,6.96
3.41,7.20
6.73,5.63
1.25,9.65
6.38,6.48
1.85,3.96
6.52,4.37
0.42,7.58
3.68,2.05
4.86,3.64
3.85,9.54
9.14,5.37
8.04,2.81
1.41,5.73
9.57,7.32
6.02,7.18
4.20,7.29
3.82,0.35
8.71,5.39
1.93,7.23
4.98,0.88
2.28,6.53
3.94,6.44
8.04,3.81
8.80,5.23
8.49,9.02
7.19,9.98
5.87,7.43
9.74,5.60
2.09,7.80
6.56,4.88
9.38,3.40
3.58,4.87
6.55,7.12
7.99,7.63
1.78,2.13
5.67,5.30
3.34,3.25
3.85,3.53
2.46,2.30
8.89,1.71
5.86,2.77
2.94,0.85
1.45,5.31
2.48,2.17
7.13,5.66
9.08,0.27
1.84,1.16
5.19,4.88
7.53,9.83
7.73,4.41
2.76,9.02
8.47,2.32
1.80,6.51
2.80,5.07
8.03,7.86
8.04,6.35
6.41,8.16
8.20,7.71
8.40,5.15
4.65,0.35
1.52,3.16
1.18,5.91
7.33,4.29
7.43,7.13
3.90,4.09
7.08,0.45
3.20,3.55
5.52,3.55
9.63,8.80
7.46,0.46
2.97,2.18
6.38,5.69
8.23,6.08
6.33,6.64
5.15,1.69
1.64,0.62
1.99,0.13
1.37,8.66
2.19,2.75
3.69,3.32
7.05,0.62
9.89,1.96
4.95,0.72
8.96,0.03
5.14,7.64
1.51,1.05
4.59,5.41
6.10,1.58
7.41,3.21
2.03,9.37
9.34,2.94
9.94,2.83
4.36,3.67
5.83,7.99
6.60,0.35
4.57,6.90
8.17,9.67
6.09,8.09
2.90,5.82
1.32,5.20
6.62,3.10
5.06,4.63
6.98,0.13
9.92,7.15
9.74,2.55
8.88,0.92
3.64,7.33
3.80,5.39
3.41,1.80
4.11,6.76
8.60,5.10
2.66,5.37
6.22,7.80
5.43,4.77
7.08,7.83
8.33,0.35
8.48,7.71
6.61,2.44
1.22,7.93
2.09,5.46
4.98,6.55
9.38,9.70
4.09,3.36
4.30,6.92
5.36,9.70
7.27,4.48
0.50,1.93
9.72,5.10
8.49,7.22
3.80,1.08
7.25,5.34
4.33,2.53
9.91,9.01
7.44,8.70
8.08,8.43
1.85,0.53
3.67,2.69
7.53,0.19
0.93,1.78
0.98,0.51
2.64,8.47
8.54,3.07
7.84,8.02
6.48,8.63
3.57,7.71
2.04,8.12
9.97,4.92
0.09,5.00
5.99,4.43
8.55,2.58
3.24,0.81
9.45,0.89
6.38,1.58
3.82,7.99
1.95,0.25
5.95,0.35
1.41,6.29
6.54,5.07
0.85,0.56
4.83,4.53
6.92,0.88
